demographic,earnings,order_earnings,change_earnings,earnings_hs,order_earnings_hs,change_earnings_hs,earnings_ba,order_earnings_ba,change_earnings_ba,earnings_aa,order_earnings_aa,change_earnings_aa,earnings_justice,order_earnings_justice,change_earnings_justice,earnings_race,order_earnings_race,change_earnings_race,earnings_comm,order_earnings_comm,change_earnings_comm,earnings_job_quality,order_earnings_job_quality,change_earnings_job_quality,earnings_job_training,order_earnings_job_training,change_earnings_job_training
White men+,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,1,3,2,1,3,2,1
White women+,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,1,3,1,0,3,1,0
White men+,10,1,0,10,1,0,10,1,0,10,1,0,10,1,0,10,1,0,10,1,1,10,1,0,10,1,0
White men+,6,2,0,6,2,0,6,2,0,6,2,0,6,2,0,6,2,0,6,2,1,6,2,0,6,2,1
White women+,6,1,0,6,1,0,6,1,0,6,1,0,6,1,0,6,1,0,6,2,0,7,1,1,6,2,1
White women+,6,2,0,6,2,0,6,2,0,6,2,0,6,2,0,6,2,0,6,3,0,7,2,1,6,3,1
White men+,6,3,0,6,3,0,6,3,0,6,3,0,6,3,0,6,3,0,6,3,0,7,1,1,7,1,1
Hispanic men,4,1,0,4,1,0,4,1,0,4,1,0,4,1,0,6,1,1,4,1,1,4,1,1,4,1,1
Hispanic men,8,1,0,8,1,0,8,1,0,8,1,0,8,1,0,10,1,1,8,1,1,8,1,0,8,1,1
Black women,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,3,1,1,8,1,1,3,1,1,2,1,1
Black men,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,4,1,1,1,1,1,2,1,1,1,1,1
White women+,7,2,0,7,2,0,7,2,0,7,2,0,7,2,0,7,2,0,8,2,1,8,3,1,7,2,1
Hispanic women,2,1,0,2,1,1,2,1,1,2,1,1,2,1,1,3,1,1,2,1,1,3,1,1,3,1,1
Black women,4,1,0,4,1,0,4,1,0,5,1,1,4,1,0,4,1,1,4,1,1,4,1,1,4,1,1
Hispanic women,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,4,1,1,4,1,1,3,2,0,3,2,0
Hispanic women,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,4,2,1,3,1,1,3,3,0,3,3,0
Hispanic women,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,4,3,1,4,2,1,3,4,0,3,4,0
Black men,3,1,0,3,1,0,3,1,0,3,1,0,3,1,1,9,1,1,5,1,1,4,1,1,3,1,1
White men+,11,2,0,11,2,0,11,2,0,11,2,0,11,2,0,11,2,0,11,2,0,11,2,0,11,2,0
Hispanic men,4,2,0,4,2,0,4,2,0,4,2,0,4,2,0,7,1,1,4,2,1,4,2,1,4,2,1
White women+,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,1,2,1,0,2,1,0
White women+,4,1,0,4,1,0,4,1,0,4,1,0,4,1,0,4,1,0,4,1,0,4,1,1,4,1,1
Black women,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,1,1,2,1,1,2,1,0,2,2,0
White men+,14,1,0,14,1,0,14,1,0,14,1,0,14,1,0,14,1,0,14,1,0,14,1,0,14,2,1
White women+,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,1,2,2,1,2,2,1
White men+,6,4,0,6,4,0,6,4,0,6,4,0,6,4,0,6,4,0,6,4,0,6,3,1,6,3,1
White men+,7,1,0,7,1,0,7,1,0,7,1,0,7,1,0,7,1,0,7,1,0,7,2,0,7,2,1
White women+,6,3,0,6,3,0,6,3,0,6,3,0,6,3,0,6,3,0,6,4,0,6,2,1,6,4,1
White women+,4,2,0,4,2,0,4,2,0,4,2,0,4,2,0,4,2,0,5,3,1,5,3,1,5,3,1
Hispanic women,8,1,0,8,1,1,8,1,1,8,1,1,8,1,1,9,1,1,8,1,1,8,1,1,8,1,1
White men+,7,2,0,7,2,0,7,2,0,7,2,0,7,2,0,7,2,0,7,2,0,8,1,1,7,3,1
White men+,18,1,0,18,1,0,18,1,0,18,1,0,18,1,0,18,1,0,18,1,0,18,1,0,18,1,0
Hispanic men,9,1,0,9,1,0,9,1,0,9,1,0,9,1,0,14,1,1,9,1,0,9,1,0,10,1,1
Black men,3,2,0,10,1,1,3,2,0,3,2,0,3,2,1,7,1,1,9,1,1,3,1,1,3,2,1
White men+,6,5,0,6,5,0,6,5,0,6,5,0,6,5,0,6,5,0,6,5,0,7,3,1,6,4,0
White men+,8,1,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1,0,9,1,1,8,1,1
White men+,21,2,0,21,2,1,21,2,1,21,2,1,21,2,1,21,2,1,21,2,1,21,2,1,21,2,1
White women+,10,2,0,10,2,0,10,2,0,10,2,0,10,2,0,10,2,0,10,1,0,10,2,0,10,1,0
Hispanic women,7,1,0,7,1,1,7,1,0,7,1,0,7,1,0,8,1,1,7,1,1,7,1,0,7,1,0
Hispanic women,6,1,0,6,1,1,6,1,1,6,1,1,6,1,1,7,1,1,6,1,1,6,1,1,6,1,1
White women+,4,3,0,4,3,0,4,3,0,4,3,0,4,3,0,4,3,0,4,2,0,4,2,0,4,2,1
White men+,6,6,0,8,2,1,6,6,0,6,6,0,6,6,0,6,6,0,6,6,0,6,4,1,6,5,1
White men+,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,1,2,1,0,3,3,1
White men+,8,2,0,8,3,0,8,2,0,8,2,0,8,2,0,8,2,0,8,2,0,8,2,0,8,2,0
White men+,14,2,0,14,2,0,14,2,0,14,2,0,14,2,0,14,2,0,14,2,0,14,2,0,14,3,0
White men+,11,3,0,11,3,1,16,1,1,11,3,1,11,3,1,11,3,1,11,3,1,11,3,1,12,1,1
White men+,6,7,0,6,6,0,6,7,0,6,7,0,6,7,0,6,7,0,6,7,0,6,5,0,7,4,1
White men+,4,1,0,4,1,0,4,1,0,4,1,0,4,1,0,4,1,0,4,1,0,5,3,1,4,1,1
White women+,7,3,0,7,3,0,7,3,0,7,3,0,7,3,0,7,3,0,7,2,0,7,3,0,8,2,1
White women+,6,4,0,6,4,0,6,4,0,6,4,0,6,4,0,6,4,0,6,5,0,7,4,1,6,5,1
White women+,9,1,0,9,1,0,9,1,0,9,1,0,9,1,0,9,1,0,9,1,0,9,1,0,9,1,0
White men+,4,2,0,5,3,1,4,2,0,4,2,0,4,2,0,4,2,0,4,2,0,4,1,0,4,2,0
White men+,15,3,0,15,3,0,15,3,0,15,3,0,15,3,0,15,3,0,15,3,0,15,3,0,15,2,0
White men+,8,3,0,8,4,0,8,3,0,8,3,0,8,3,0,8,3,0,8,3,0,8,3,0,8,3,1
White women+,9,2,0,9,2,0,9,2,0,9,2,0,9,2,0,9,2,0,9,2,1,9,2,0,9,2,0
Black men,8,1,0,8,1,0,8,1,0,8,1,0,8,1,1,11,1,1,8,1,1,8,1,0,8,1,0
Hispanic women,6,2,0,6,2,1,6,2,1,7,2,1,6,2,1,10,1,1,7,2,1,6,2,1,6,2,1
White women+,7,4,0,7,4,0,7,4,0,7,4,0,7,4,0,7,4,0,7,3,0,8,4,1,7,3,1
White men+,9,1,0,9,1,0,9,1,0,9,1,0,9,1,0,9,1,0,9,1,0,9,2,1,9,1,1
White men+,8,4,0,8,5,0,8,4,0,8,4,0,8,4,0,8,4,0,8,4,0,8,4,0,8,4,1
White women+,5,4,0,5,4,0,5,4,0,5,4,0,5,4,0,5,4,0,5,4,0,5,4,0,5,4,0
White men+,4,3,0,4,2,0,4,3,0,4,3,0,4,3,0,4,3,0,6,8,1,4,2,1,4,3,1
White men+,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,1,3,3,0,4,4,1
White men+,8,5,0,8,6,0,8,5,0,8,5,0,8,5,0,8,5,0,8,5,0,9,3,1,9,2,1
White women+,21,1,0,21,1,0,21,1,0,21,1,0,21,1,0,21,1,0,21,1,0,21,1,0,21,1,0
White men+,15,4,0,15,4,0,15,4,0,15,4,0,15,4,0,15,4,0,15,4,0,15,4,0,15,3,0
White women+,15,1,0,15,1,0,15,1,0,15,1,0,15,1,0,15,1,0,15,1,0,15,1,0,15,1,0
White men+,7,3,0,7,3,0,7,3,0,7,3,0,7,3,0,7,3,0,7,3,0,7,4,1,7,5,1
White women+,9,3,0,9,3,0,9,3,0,9,3,0,9,3,0,9,3,0,9,3,0,9,3,0,9,3,0
White women+,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,3,0,4,3,0,4,3,0
White men+,10,2,0,10,2,0,10,2,0,10,2,0,10,2,0,10,2,0,10,2,0,10,2,0,11,3,1
White men+,7,4,0,7,4,0,7,4,0,7,4,0,7,4,0,7,4,0,7,4,0,7,5,0,7,6,1
White men+,14,3,0,14,3,0,14,3,0,14,3,0,14,3,0,14,3,0,14,3,0,14,3,0,14,4,0
Black women,2,3,0,2,3,0,2,3,0,2,3,0,2,3,0,2,2,1,2,2,0,2,2,1,2,3,1
Hispanic women,2,2,0,2,2,1,2,2,1,2,2,1,2,2,1,4,4,1,2,2,1,3,5,1,2,1,1
White men+,8,6,0,8,7,0,8,6,0,8,6,0,8,6,0,8,6,0,8,6,0,8,5,0,8,5,0
White men+,9,2,0,9,2,0,9,2,0,9,2,0,9,2,0,9,2,0,9,2,0,10,3,1,9,3,1
White women+,14,1,0,14,1,0,14,1,0,14,1,0,14,1,0,14,1,0,14,1,0,14,1,0,14,1,0
White women+,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,1,3,2,1
Black women,5,1,0,5,1,0,5,1,0,5,2,0,5,1,0,7,1,1,5,1,1,5,1,0,5,1,1
Black women,11,1,0,11,1,0,11,1,0,11,1,0,11,1,0,11,1,-1,11,1,1,11,1,0,11,1,0
Black women,6,1,0,6,1,0,9,1,1,7,1,1,6,1,0,6,1,-1,6,1,1,6,1,0,6,1,0
White women+,3,3,0,6,5,1,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
White women+,9,4,0,9,4,0,9,4,0,9,4,0,9,4,0,9,4,0,9,4,0,9,4,0,9,4,0
White women+,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0
Black men,3,3,0,3,2,0,3,3,0,3,3,0,3,3,1,8,1,1,3,1,1,3,2,0,3,3,1
Black women,10,1,0,10,1,0,10,1,0,10,1,0,10,1,0,10,1,-1,10,1,1,10,1,0,10,1,0
Hispanic women,10,1,0,10,1,0,10,1,0,10,1,0,10,1,0,10,2,1,10,1,1,10,1,0,10,1,0
Hispanic women,3,4,0,3,4,1,3,4,1,5,1,1,3,4,1,4,5,1,3,2,1,3,6,1,4,1,1
Black women,2,4,0,4,2,1,2,4,0,2,4,0,2,4,0,2,3,-1,2,3,1,2,3,0,2,4,0
Black men,4,1,0,4,1,0,4,1,0,7,1,1,4,1,1,6,1,1,5,2,1,4,2,0,4,1,1
Hispanic women,6,3,0,6,3,0,6,3,0,6,2,0,6,3,0,8,2,1,6,2,1,6,3,0,6,3,0
Black men,3,4,0,3,3,0,3,4,0,3,4,0,3,4,1,6,2,1,3,2,0,3,3,0,3,4,0
Black men,7,1,0,7,1,0,7,1,0,7,2,0,7,1,1,11,2,1,7,1,1,7,1,1,7,1,0
Black men,3,5,0,3,4,0,3,5,0,6,1,1,3,5,1,7,2,1,3,3,0,3,4,0,3,5,1
Black women,4,2,0,4,3,0,4,2,0,4,1,0,4,2,0,4,2,1,4,2,1,4,2,1,4,2,1
Black women,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,6,2,1,4,3,1,4,3,1,4,3,1
Black men,3,6,0,3,5,0,3,6,0,3,5,0,3,6,1,7,3,1,3,4,1,3,5,1,3,6,1
Black men,5,1,0,5,1,0,5,1,0,5,1,0,5,1,1,10,1,1,5,3,1,6,1,1,5,1,1
Black men,5,2,0,5,2,0,5,2,0,5,2,0,5,2,1,14,1,1,5,4,1,5,1,0,5,2,1
Black women,6,2,0,6,2,0,6,1,0,6,1,0,6,2,0,4,3,-1,6,2,1,6,2,1,6,2,1
White men+,5,3,0,5,4,0,5,3,0,5,3,0,5,3,0,5,3,0,5,3,0,6,6,1,6,6,1
Black men,3,7,0,3,6,0,3,7,0,3,6,0,3,7,1,8,2,1,3,5,1,3,6,0,3,7,1
Black women,6,3,0,6,3,0,6,2,0,6,2,0,6,3,0,5,1,-1,6,3,1,6,3,0,6,3,1
Hispanic women,6,4,0,6,4,1,6,4,1,6,3,1,6,4,1,5,1,-1,6,3,1,6,4,1,6,4,1
Hispanic women,4,1,0,4,1,0,4,1,0,4,1,0,4,1,0,4,6,1,4,3,1,4,1,1,4,2,1
Hispanic women,4,2,0,4,2,1,4,2,1,4,2,1,4,2,1,3,2,-1,4,4,1,5,1,1,5,1,1
Black men,10,1,0,10,2,0,10,1,0,10,1,0,13,1,1,14,2,1,13,1,1,10,1,0,10,1,1
Black men,2,1,0,2,1,0,2,1,0,2,1,0,8,2,1,5,1,1,7,2,1,3,7,1,3,8,1
Hispanic women,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1
Hispanic men,4,3,0,4,3,0,4,3,0,4,3,0,4,3,0,6,2,1,4,3,1,4,3,0,4,3,1
Hispanic men,6,1,0,6,1,0,6,1,0,6,1,0,6,1,0,7,2,1,6,1,-1,7,1,1,6,1,1
Hispanic men,8,2,0,8,2,0,8,2,0,8,2,0,8,2,0,7,3,-1,8,2,1,9,2,1,8,2,1
Hispanic men,8,3,0,8,3,0,8,3,0,8,3,0,8,3,0,15,1,1,8,3,1,8,2,0,8,3,1
Black women,4,3,0,4,4,0,4,3,0,4,2,0,4,3,0,4,4,-1,4,4,1,4,4,0,4,4,0
Hispanic women,3,5,0,3,5,0,3,5,0,3,4,0,3,5,0,3,3,-1,3,3,1,3,7,0,3,5,0
White women+,4,5,0,4,5,0,4,5,0,4,5,0,4,5,0,4,5,0,4,4,0,5,6,1,4,4,1
White women+,21,2,0,21,2,0,21,2,0,21,2,0,21,2,0,21,2,0,21,2,0,21,2,0,21,2,0
White women+,9,5,0,9,5,0,9,5,0,9,5,0,9,5,0,9,5,0,9,5,0,10,3,1,10,2,1
White women+,3,4,0,3,3,0,3,4,0,3,4,0,3,4,0,3,4,0,3,4,0,3,4,0,3,4,0
White women+,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0
White men+,6,8,0,6,7,0,6,8,0,6,8,0,6,8,0,6,8,0,6,9,0,7,6,1,6,7,0
White men+,21,3,0,21,3,1,21,3,1,21,3,1,21,3,1,21,3,1,21,3,1,21,3,1,21,3,1
White men+,5,4,0,11,4,1,5,4,0,5,4,0,5,4,0,5,4,0,11,4,1,5,4,0,5,3,0
White women+,21,3,0,21,3,0,21,3,0,21,3,0,21,3,0,21,3,0,21,3,0,21,3,0,21,3,0
Hispanic women,6,5,0,6,5,1,6,5,1,6,4,1,6,5,1,7,2,1,6,4,1,6,5,1,6,5,1
Hispanic women,3,6,0,3,6,0,3,6,0,3,5,0,3,6,0,5,2,1,3,4,1,3,8,0,3,6,0
White men+,4,4,0,4,3,0,4,4,0,4,4,0,4,4,0,4,4,0,5,4,1,5,5,1,4,5,1
White women+,7,5,0,7,5,0,7,5,0,7,5,0,7,5,0,7,5,0,7,4,0,7,5,0,7,4,0
White men+,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,6,0,5,4,0
Black men,3,8,0,5,3,1,3,8,0,3,7,0,3,8,1,8,3,1,3,6,0,3,8,0,3,9,0
Hispanic women,6,6,0,6,6,1,6,6,1,6,5,1,6,6,1,6,1,1,6,5,1,6,6,1,6,6,1
White men+,5,6,0,5,6,0,5,6,0,5,6,0,5,6,0,5,6,0,5,6,0,5,7,0,5,5,0
White women+,14,2,0,14,2,0,14,2,0,14,2,0,14,2,0,14,2,0,14,2,0,14,2,0,14,2,0
White women+,7,6,0,7,6,0,7,6,0,7,6,0,7,6,0,7,6,0,7,5,0,7,6,0,7,5,0
White men+,13,1,0,13,1,0,13,1,0,13,1,0,13,1,0,13,1,0,13,1,0,13,1,0,13,1,0
Hispanic women,3,7,0,3,7,0,3,7,0,3,6,0,3,7,0,4,7,1,3,5,1,3,9,0,3,7,0
Black women,2,5,0,2,4,0,2,5,0,2,5,0,2,5,0,2,4,1,2,4,1,2,4,1,2,5,1
White men+,8,7,0,8,8,0,8,7,0,8,7,0,8,7,0,8,7,0,8,7,0,8,6,0,9,4,1
Black women,5,2,0,5,2,0,5,2,0,5,3,1,5,2,0,5,2,1,5,2,0,5,2,0,5,2,1
White men+,3,4,0,3,4,0,3,4,0,3,4,0,3,4,0,3,4,0,3,4,0,4,3,1,3,4,1
White men+,9,3,0,9,3,0,9,3,0,9,3,0,9,3,0,9,3,0,9,3,0,9,4,1,9,5,1
White women+,4,6,0,4,6,0,4,6,0,4,6,0,4,6,0,4,6,0,4,5,0,4,4,0,4,5,1
White women+,8,2,0,8,2,0,8,2,0,8,2,0,8,2,0,8,2,0,10,2,1,8,5,0,11,2,1
White women+,2,3,0,4,7,1,2,3,0,2,3,0,2,3,0,2,3,0,2,3,1,2,3,1,2,3,1
Hispanic men,11,1,0,11,1,0,11,1,0,11,1,0,11,1,0,13,1,1,11,1,1,11,1,0,11,1,0
Hispanic men,10,1,0,10,1,0,10,1,0,10,1,0,10,1,0,10,2,-1,9,2,-1,10,1,1,10,2,1
Hispanic women,3,8,0,3,8,0,3,8,0,6,6,1,3,8,0,4,8,1,3,6,1,3,10,0,3,8,0
White women+,6,5,0,6,6,0,6,5,0,6,5,0,6,5,0,6,5,0,6,6,1,6,3,0,6,6,0
Black men,3,9,0,3,7,0,3,9,0,7,3,1,4,2,1,8,4,1,3,7,1,3,9,0,3,10,0
Black women,5,3,0,5,3,0,5,3,0,5,4,0,5,3,0,6,3,1,6,4,1,5,3,0,5,3,0
White women+,11,1,0,11,1,0,11,1,0,11,1,0,11,1,0,11,1,0,11,2,0,11,1,0,11,3,0
White women+,10,3,0,10,3,0,10,3,0,10,3,0,10,3,0,10,3,0,10,3,0,10,4,0,10,3,0
White women+,4,7,0,4,8,0,4,7,0,4,7,0,4,7,0,4,7,0,4,6,0,4,5,1,4,6,1
Hispanic women,10,2,0,10,2,0,10,2,0,10,2,0,10,2,0,12,1,1,10,2,0,10,2,0,10,2,0
White men+,6,9,0,6,8,0,6,9,0,6,9,0,6,9,0,6,9,0,6,10,0,7,7,1,6,8,1
Hispanic men,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,1,16,1,0,16,1,0,16,1,0
White men+,6,10,0,6,9,0,6,10,0,6,10,0,6,10,0,6,10,0,6,11,0,7,8,1,6,9,1
White women+,13,1,0,13,1,0,13,1,0,13,1,0,13,1,0,13,1,0,13,1,0,13,1,0,13,1,0
White women+,13,2,0,13,2,0,13,2,0,13,2,0,13,2,0,13,2,0,13,2,0,13,2,0,13,2,0
Hispanic men,21,1,0,21,1,0,21,1,0,21,1,1,21,1,0,21,1,1,21,1,0,21,1,0,21,1,0
White men+,9,4,0,9,4,1,9,4,1,9,4,1,9,4,1,9,4,1,9,4,1,9,5,1,10,2,1
White men+,15,5,0,15,5,0,15,5,0,15,5,0,15,5,0,15,5,0,15,5,1,15,5,0,15,4,1
White women+,5,6,0,5,6,0,5,6,0,5,6,0,5,6,0,5,6,0,5,6,0,5,7,0,5,6,0
White men+,7,5,0,7,5,0,7,5,0,7,5,0,7,5,0,7,5,0,7,5,1,8,7,1,7,7,1
White men+,14,4,0,14,4,0,14,4,0,14,4,0,14,4,0,14,4,0,14,4,0,14,4,0,14,5,0
White women+,8,3,0,8,3,0,8,3,0,8,3,0,8,3,0,8,3,0,8,3,0,8,6,0,8,3,0
White women+,4,8,0,4,9,0,4,8,0,4,8,0,4,8,0,4,8,0,4,7,0,4,6,1,4,7,1
White men+,3,5,0,3,5,0,3,5,0,3,5,0,3,5,0,3,5,0,3,5,0,3,4,0,3,5,-1
White women+,4,9,0,4,10,0,4,9,0,4,9,0,4,9,0,4,9,0,4,8,0,4,7,0,4,8,0
White men+,5,7,0,5,7,0,5,7,0,5,7,0,5,7,0,5,7,0,6,12,1,6,7,1,5,6,1
White men+,12,1,0,12,1,0,12,1,0,12,1,0,12,1,0,12,1,0,12,1,1,12,1,0,12,2,0
White women+,5,7,0,5,7,0,5,7,0,6,6,1,5,7,0,5,7,0,5,7,0,5,8,1,5,7,1
White women+,5,8,0,5,8,0,5,8,0,5,7,0,5,8,0,5,8,0,5,8,0,5,9,1,5,8,1
Hispanic women,5,1,0,5,1,0,5,1,0,5,2,0,5,1,0,6,2,1,5,1,0,5,2,0,5,2,0
White men+,10,3,0,10,3,0,10,3,0,10,3,0,10,3,0,10,3,0,10,3,0,10,4,0,10,3,0
White men+,13,2,0,13,2,0,13,2,0,13,2,0,13,2,0,13,2,0,13,2,0,13,2,0,13,2,0
White women+,6,6,0,6,7,0,6,6,0,6,7,0,6,6,0,6,6,0,6,7,0,6,4,0,6,7,0
Black women,9,1,0,9,1,0,9,2,0,9,1,0,9,1,0,9,1,1,9,1,0,9,1,0,9,1,0
White women+,3,5,0,6,8,1,3,5,0,3,5,0,3,5,0,3,5,0,3,5,0,3,5,0,3,5,-1
White women+,9,6,0,9,6,0,9,6,0,9,6,0,9,6,0,9,6,0,9,6,0,9,5,0,9,5,0
White women+,5,9,0,5,9,0,5,9,0,5,8,0,5,9,0,5,9,0,5,9,1,5,10,0,5,9,0
White men+,7,6,0,7,6,0,7,6,0,7,6,0,7,6,0,7,6,0,7,6,0,8,8,1,7,8,1
White men+,21,4,0,21,4,0,21,4,0,21,4,0,21,4,0,21,4,0,21,4,0,21,4,0,21,4,0
White women+,5,10,0,5,10,0,5,10,0,5,9,0,5,10,0,5,10,0,5,10,1,5,11,0,5,10,0
White men+,7,7,0,7,7,0,7,7,0,7,7,0,7,7,0,7,7,0,7,7,0,7,9,0,7,9,1
White men+,12,2,0,12,2,0,12,2,0,12,2,0,12,2,0,12,2,0,12,2,0,12,2,0,13,3,1
White women+,5,11,0,5,11,0,5,11,0,5,10,0,5,11,0,5,11,0,5,11,0,6,5,1,5,11,1
White women+,11,2,0,11,2,0,11,2,0,11,2,0,11,2,0,11,2,0,11,3,1,11,2,0,11,4,0
White women+,10,4,0,10,4,0,10,4,0,10,4,0,10,4,0,10,4,0,10,4,1,10,5,0,10,4,0
White women+,2,4,0,2,3,0,2,4,0,2,4,0,2,4,0,2,4,0,2,4,1,2,4,0,2,4,0
White men+,4,5,0,6,10,1,4,5,0,4,5,0,4,5,0,4,5,0,4,3,0,5,8,1,4,6,1
White men+,5,8,0,5,8,0,5,8,0,5,8,0,5,8,0,5,8,0,6,13,1,5,9,0,5,7,0
White women+,8,4,0,8,4,0,8,4,0,8,4,0,8,4,0,8,4,0,8,4,0,9,6,1,8,4,1
White men+,12,3,0,12,3,0,12,3,0,12,3,0,12,3,0,12,3,0,12,3,0,12,3,0,13,4,1
White women+,4,10,0,4,11,0,4,10,0,4,10,0,4,10,0,4,10,0,4,9,1,4,8,0,4,9,0
White women+,12,1,0,12,1,0,12,1,0,12,1,0,12,1,0,12,1,0,12,1,0,12,1,0,12,1,0
White women+,2,5,0,5,12,1,2,5,0,2,5,0,2,5,0,2,5,0,2,5,0,2,5,0,2,5,1
White women+,9,7,0,9,7,0,9,7,0,9,7,0,9,7,0,9,7,0,9,7,0,9,7,0,9,6,0
White women+,2,6,0,2,4,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,1,2,6,1,2,6,1
White men+,7,8,0,7,8,0,7,8,0,7,8,0,7,8,0,7,8,0,7,8,0,7,10,0,8,6,1
White men+,9,5,0,9,5,0,9,5,0,9,5,0,9,5,0,9,5,0,9,5,0,10,5,1,9,6,1
White men+,14,5,0,14,5,0,14,5,0,14,5,0,14,5,0,14,5,0,14,5,1,14,5,0,14,6,0
White men+,21,5,0,21,5,1,21,5,1,21,5,1,21,5,1,21,5,1,21,5,1,21,5,1,21,5,1
White men+,7,9,0,7,9,0,7,9,0,7,9,0,7,9,0,7,9,0,7,9,0,7,11,0,8,7,1
White women+,8,5,0,8,5,0,8,5,0,8,5,0,8,5,0,8,5,0,8,5,0,8,7,0,8,5,0
White men+,4,6,0,4,4,0,4,6,0,4,6,0,4,6,0,4,6,0,4,4,1,5,10,1,4,7,1
White men+,5,9,0,5,9,0,5,9,0,5,9,0,5,9,0,5,9,0,11,5,1,5,11,0,6,10,1
White men+,7,10,0,7,10,0,7,10,0,7,10,0,7,10,0,7,10,0,8,8,1,7,12,0,7,10,0
Black men,2,2,0,2,2,0,2,2,0,5,3,1,2,1,1,9,2,1,6,1,1,2,2,0,2,1,0
Black women,7,1,0,7,1,0,7,1,0,7,2,0,7,1,0,8,1,1,7,1,1,7,1,1,7,1,1
Black women,2,6,0,2,5,0,2,6,0,2,6,0,2,6,0,2,5,1,2,5,1,2,5,1,2,6,1
Hispanic men,15,1,0,15,1,0,15,1,0,15,1,0,15,1,0,15,2,-1,15,1,1,15,1,0,15,1,0
White men+,8,8,0,8,9,0,8,8,0,8,8,0,8,8,0,8,8,0,8,9,1,8,9,0,8,8,0
White women+,5,12,0,5,13,0,5,12,0,5,11,0,5,12,0,5,12,0,5,12,0,5,12,0,5,12,0
White men+,9,6,0,9,6,0,9,6,0,9,6,0,9,6,0,9,6,0,9,6,1,9,6,0,9,7,0
White women+,2,7,0,2,5,0,2,7,0,2,7,0,2,7,0,2,7,0,2,7,0,2,7,0,2,7,1
